month,p3,p10,p25,p50,p75,p90,p97
0,47.6,48.7,49.9,51.2,52.5,53.6,54.8
1,51.3,52.5,53.8,55.1,56.5,57.7,59.0
2,54.9,56.2,57.5,59.0,60.4,61.7,63.0
3,58.0,59.4,60.7,62.2,63.7,65.1,66.4
4,60.5,61.9,63.3,64.8,66.4,67.8,69.1
5,62.5,63.9,65.4,66.9,68.5,69.9,71.3
6,64.2,65.7,67.1,68.7,70.3,71.8,73.2
7,65.7,67.2,68.7,70.3,71.9,73.4,74.9
8,67.1,68.6,70.1,71.7,73.4,74.9,76.4
9,68.3,69.8,71.4,73.1,74.7,76.3,77.8
10,69.5,71.0,72.6,74.3,76.0,77.6,79.1
11,70.7,72.2,73.8,75.5,77.3,78.8,80.4
12,71.7,73.3,74.9,76.7,78.5,80.1,81.6
13,72.8,74.4,76.0,77.8,79.6,81.2,82.8
14,73.8,75.4,77.1,78.9,80.7,82.4,84.0
15,74.8,76.5,78.1,80.0,81.8,83.5,85.1
16,75.8,77.5,79.2,81.0,82.9,84.6,86.3
17,76.8,78.5,80.2,82.1,84.0,85.7,87.4
18,77.7,79.4,81.2,83.1,85.0,86.8,88.5
19,78.6,80.4,82.1,84.1,86.1,87.8,89.6
20,79.6,81.3,83.1,85.1,87.1,88.9,90.6
21,80.5,82.3,84.1,86.1,88.1,89.9,91.7
22,81.4,83.2,85.0,87.0,89.1,90.9,92.7
23,82.2,84.1,85.9,88.0,90.0,91.9,93.7
24,82.4,84.2,86.1,88.2,90.3,92.2,94.0
27,84.8,86.7,88.6,90.8,93.0,94.9,96.8
30,87.0,88.9,91.0,93.2,95.4,97.4,99.4
33,89.0,91.0,93.1,95.4,97.7,99.8,101.8
36,90.9,93.0,95.1,97.5,99.9,102.0,104.1
39,92.7,94.8,97.0,99.5,101.9,104.1,106.2
42,94.4,96.6,98.8,101.3,103.8,106.1,108.3
45,96.0,98.3,100.6,103.1,105.7,108.0,110.2
48,97.6,99.9,102.3,104.9,107.5,109.8,112.2
51,99.2,101.6,104.0,106.6,109.3,111.7,114.1
54,100.8,103.2,105.7,108.4,111.1,113.6,116.0
57,102.4,104.9,107.4,110.2,113.0,115.5,117.9
60,104.1,106.6,109.1,112.0,114.8,117.4,119.9
63,105.7,108.2,110.9,113.7,116.6,119.2,121.8
66,107.2,109.9,112.5,115.5,118.4,121.1,123.7
69,108.8,111.4,114.1,117.1,120.2,122.9,125.5
72,110.3,113.0,115.7,118.8,121.9,124.6,127.3
75,111.7,114.5,117.3,120.4,123.5,126.3,129.1
78,113.1,116.0,118.8,122.0,125.2,128.0,130.8
81,114.5,117.4,120.3,123.5,126.7,129.6,132.5
