month,p3,p10,p25,p50,p75,p90,p97
0,46.8,47.9,49.1,50.3,51.6,52.7,53.8
1,50.4,51.6,52.8,54.1,55.4,56.6,57.8
2,53.8,55.0,56.3,57.7,59.1,60.4,61.6
3,56.7,58.0,59.3,60.8,62.2,63.5,64.8
4,59.1,60.4,61.7,63.3,64.8,66.1,67.4
5,61.0,62.4,63.8,65.3,66.9,68.2,69.6
6,62.7,64.1,65.5,67.1,68.7,70.1,71.5
7,64.2,65.6,67.1,68.7,70.3,71.7,73.1
8,65.6,67.0,68.5,70.1,71.7,73.2,74.7
9,66.8,68.3,69.8,71.5,73.1,74.6,76.1
10,68.1,69.6,71.1,72.8,74.5,76.0,77.5
11,69.2,70.8,72.3,74.0,75.7,77.3,78.8
12,70.4,71.9,73.5,75.2,77.0,78.6,80.1
13,71.4,73.0,74.6,76.4,78.2,79.8,81.4
14,72.5,74.1,75.7,77.5,79.3,81.0,82.6
15,73.5,75.2,76.8,78.6,80.5,82.1,83.8
16,74.6,76.2,77.9,79.7,81.6,83.3,84.9
17,75.5,77.2,78.9,80.8,82.7,84.4,86.1
18,76.5,78.2,79.9,81.9,83.8,85.5,87.2
19,77.5,79.2,80.9,82.9,84.8,86.6,88.3
20,78.4,80.2,81.9,83.9,85.9,87.6,89.4
21,79.3,81.1,82.9,84.9,86.9,88.7,90.4
22,80.2,82.0,83.8,85.8,87.9,89.7,91.5
23,81.1,82.9,84.7,86.8,88.8,90.7,92.5
24,81.2,83.0,84.9,87.0,89.1,90.9,92.8
27,83.6,85.5,87.4,89.5,91.7,93.6,95.5
30,85.7,87.7,89.7,91.9,94.1,96.1,98.1
33,87.7,89.8,91.8,94.1,96.4,98.4,100.5
36,89.7,91.8,93.9,96.2,98.5,100.7,102.7
39,91.5,93.6,95.8,98.2,100.6,102.8,104.9
42,93.2,95.4,97.6,100.1,102.5,104.8,106.9
45,94.9,97.1,99.4,101.9,104.4,106.7,108.9
48,96.5,98.8,101.1,103.7,106.3,108.6,110.9
51,98.1,100.4,102.8,105.4,108.1,110.4,112.8
54,99.7,102.1,104.5,107.2,109.9,112.3,114.7
57,101.3,103.8,106.2,109.0,111.8,114.2,116.7
60,103.0,105.5,108.0,110.8,113.6,116.1,118.6
63,104.6,107.1,109.7,112.6,115.4,118.0,120.6
66,106.1,108.7,111.3,114.3,117.2,119.8,122.4
69,107.6,110.3,112.9,115.9,118.9,121.6,124.2
72,109.0,111.7,114.5,117.5,120.6,123.3,126.0
75,110.4,113.2,116.0,119.1,122.2,124.9,127.7
78,111.8,114.6,117.4,120.6,123.7,126.6,129.4
81,113.2,116.0,118.9,122.1,125.3,128.2,131.0
