month,p3,p10,p25,p50,p75,p90,p97
0,2.7,2.9,3.1,3.3,3.6,3.8,4.1
1,3.5,3.7,4.0,4.3,4.6,4.9,5.3
2,4.4,4.7,5.0,5.4,5.8,6.2,6.6
3,5.1,5.4,5.8,6.2,6.7,7.2,7.6
4,5.6,6.0,6.4,6.9,7.4,7.9,8.4
5,6.0,6.4,6.9,7.4,7.9,8.5,9.1
6,6.4,6.8,7.2,7.8,8.4,9.0,9.6
7,6.7,7.1,7.6,8.1,8.8,9.4,10.0
8,6.9,7.4,7.9,8.4,9.1,9.7,10.4
9,7.2,7.6,8.1,8.7,9.4,10.0,10.8
10,7.4,7.8,8.3,9.0,9.6,10.3,11.1
11,7.6,8.0,8.6,9.2,9.9,10.6,11.4
12,7.7,8.2,8.8,9.4,10.1,10.9,11.6
13,7.9,8.4,9.0,9.6,10.4,11.1,11.9
14,8.1,8.6,9.2,9.8,10.6,11.3,12.2
15,8.3,8.8,9.3,10.0,10.8,11.6,12.4
16,8.4,9.0,9.5,10.3,11.0,11.8,12.7
17,8.6,9.1,9.7,10.5,11.3,12.1,12.9
18,8.8,9.3,9.9,10.7,11.5,12.3,13.2
19,9.0,9.5,10.1,10.9,11.7,12.6,13.5
20,9.1,9.7,10.3,11.1,12.0,12.8,13.8
21,9.3,9.9,10.5,11.3,12.2,13.1,14.0
22,9.5,10.1,10.7,11.5,12.4,13.3,14.3
23,9.7,10.3,10.9,11.7,12.6,13.6,14.6
24,9.8,10.4,11.1,11.9,12.9,13.8,14.8
27,10.3,10.9,11.6,12.5,13.5,14.4,15.5
30,10.7,11.4,12.1,13.0,14.1,15.1,16.2
33,11.1,11.8,12.6,13.6,14.6,15.7,16.9
36,11.5,12.3,13.1,14.1,15.3,16.4,17.7
39,12.0,12.7,13.6,14.7,15.9,17.1,18.4
42,12.4,13.2,14.1,15.2,16.4,17.7,19.1
45,12.8,13.6,14.5,15.7,17.0,18.3,19.8
48,13.1,14.0,15.0,16.2,17.6,18.9,20.5
51,13.5,14.4,15.4,16.7,18.1,19.6,21.1
54,13.9,14.8,15.9,17.2,18.7,20.2,21.9
57,14.3,15.3,16.4,17.8,19.3,20.9,22.6
60,14.7,15.8,16.9,18.4,20.0,21.6,23.4
63,15.1,16.2,17.5,19.0,20.7,22.4,24.3
66,15.5,16.7,18.0,19.6,21.4,23.2,25.1
69,15.9,17.1,18.5,20.2,22.0,23.9,26.0
72,16.3,17.6,19.0,20.7,22.7,24.7,26.8
75,16.7,18.0,19.5,21.3,23.3,25.4,27.6
78,17.0,18.4,19.9,21.8,24.0,26.1,28.5
81,17.4,18.8,20.4,22.4,24.6,26.8,29.3
